Site,SRR7666488,SRR7666480,SRR7666591,SRR7666498,SRR7666581,SRR7666588,SRR7666487,SRR7666500,SRR7666592,SRR7666589,SRR7666595,SRR7666482,SRR7666494,SRR7666490,SRR7666354,SRR7666485,SRR7666497,SRR7666355,SRR7666358,SRR7666351,SRR7666586,SRR7666483,SRR7666357,SRR7666352,SRR7666484,SRR7666348,SRR7666583,SRR7666599,SRR7666495,SRR7666596,SRR7666347,SRR7666481,start,end
chr10_110918213_110919120,,,,,,,,,,,,,12.0,,,,,,,13.0,,8.0,,,,,,,,,,,chr10_110918213,chr10_110919120
chr10_110919657_110964124,,,,,,,,,,,,10.0,,,7.0,,,,31.0,,,,,,,,,,,,,,chr10_110919657,chr10_110964124
chr10_110937312_110964124,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,chr10_110937312,chr10_110964124
chr10_110951792_110964124,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,chr10_110951792,chr10_110964124
chr10_112428438_112432239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,chr10_112428438,chr10_112432239
chr10_112430907_112432239,,14.0,,,,,,4.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,chr10_112430907,chr10_112432239
chr10_112438389_112442191,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,chr10_112438389,chr10_112442191
chr10_112440695_112442191,,,,,,,,16.0,,,,,,,,,,,,,2.0,,,,,,,21.0,,,68.0,,chr10_112440695,chr10_112442191
chr10_112442351_112443514,,23.0,,,,,,7.0,,,,,4.0,,,,,,,,,,,,,,,7.0,,3.0,41.0,,chr10_112442351,chr10_112443514
chr10_112442259_112443514,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,chr10_112442259,chr10_112443514
chr10_112951607_113040024,,,,,,,,,,,1.0,,,,,,,,,,,,11.0,,,,,,,,,,chr10_112951607,chr10_113040024
chr10_112964624_113040024,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_112964624,chr10_113040024
chr10_114157680_114174014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,chr10_114157680,chr10_114174014
chr10_114173265_114174014,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_114173265,chr10_114174014
chr10_118336420_118342269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,chr10_118336420,chr10_118342269
chr10_118341927_118342269,,,,,,,,,,,,,1.0,,,,,,,,,,,,,66.0,,,,,47.0,,chr10_118341927,chr10_118342269
chr10_118686168_118686597,,,,,,,,8.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,chr10_118686168,chr10_118686597
chr10_118686164_118686597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,chr10_118686164,chr10_118686597
chr10_12230996_12235047,,,,,,11.0,,,,,3.0,,,,,,,,3.0,67.0,,,,,,89.0,,,3.0,,,,chr10_12230996,chr10_12235047
chr10_12217467_12235047,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,chr10_12217467,chr10_12235047
chr10_122427031_122429623,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,chr10_122427031,chr10_122429623
chr10_122428316_122429623,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,chr10_122428316,chr10_122429623
chr10_124760503_124765391,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,44.0,,chr10_124760503,chr10_124765391
chr10_124762558_124765391,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,chr10_124762558,chr10_124765391
chr10_125789005_125794879,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,1.0,,,chr10_125789005,chr10_125794879
chr10_125794388_125794879,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_125794388,chr10_125794879
chr10_125827638_125831419,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,chr10_125827638,chr10_125831419
chr10_125830651_125831419,,,,58.0,,,9.0,9.0,,,,,,,,,,,,,,16.0,,,,,2.0,9.0,,3.0,,,chr10_125830651,chr10_125831419
chr10_133310288_133311715,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,chr10_133310288,chr10_133311715
chr10_133310229_133311715,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,chr10_133310229,chr10_133311715
chr10_133311816_133312787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,chr10_133311816,chr10_133312787
chr10_133311841_133312787,,,,,,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_133311841,chr10_133312787
chr10_13587152_13597457,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,24.0,,,,,,,17.0,,chr10_13587152,chr10_13597457
chr10_13591888_13597457,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_13591888,chr10_13597457
chr10_15097409_15102217,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,chr10_15097409,chr10_15102217
chr10_15097766_15102217,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,chr10_15097766,chr10_15102217
chr10_15097766_15103304,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,chr10_15097766,chr10_15103304
chr10_15102336_15103304,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,1.0,,,,,,chr10_15102336,chr10_15103304
chr10_15141029_15141421,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,chr10_15141029,chr10_15141421
chr10_15135418_15141421,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,chr10_15135418,chr10_15141421
chr10_16782084_16817314,,11.0,,,,,,,,,6.0,,,,,13.0,,,,,,,,,,,,,,,,,chr10_16782084,chr10_16817314
chr10_16817084_16817314,,,1.0,,,,,,,,23.0,,,,,,,,,43.0,,19.0,,19.0,,,,,,,,,chr10_16817084,chr10_16817314
chr10_19790186_20001774,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_19790186,chr10_20001774
chr10_19817191_20001774,9.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,9.0,14.0,,,,,,,,,chr10_19817191,chr10_20001774
chr10_24238751_24380868,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,chr10_24238751,chr10_24380868
chr10_24239337_24380868,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_24239337,chr10_24380868
chr10_24255596_24380868,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,chr10_24255596,chr10_24380868
chr10_24466790_24473227,,,,,3.0,,19.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,chr10_24466790,chr10_24473227
chr10_24438479_24473227,,,,,3.0,,5.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,chr10_24438479,chr10_24473227
chr10_24474060_24495146,,,,,,,21.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_24474060,chr10_24495146
chr10_24492007_24495146,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_24492007,chr10_24495146
chr10_24494604_24495146,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_24494604,chr10_24495146
chr10_26751783_26759061,,,,,,,,,,,6.0,,,,,,,4.0,,,4.0,,,14.0,,,,,5.0,,,,chr10_26751783,chr10_26759061
chr10_26755741_26759061,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,chr10_26755741,chr10_26759061
chr10_26759235_26765217,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,chr10_26759235,chr10_26765217
chr10_26759238_26765217,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,4.0,,,chr10_26759238,chr10_26765217
chr10_28147563_28149981,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,chr10_28147563,chr10_28149981
chr10_28131691_28149981,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_28131691,chr10_28149981
chr10_30337027_30340225,16.0,,,,,,,7.0,,,,,,5.0,,,,55.0,38.0,,4.0,,13.0,,,,,,17.0,,48.0,,chr10_30337027,chr10_30340225
chr10_30337031_30340225,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,chr10_30337031,chr10_30340225
chr10_30336936_30340225,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_30336936,chr10_30340225
chr10_30336997_30340225,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,chr10_30336997,chr10_30340225
chr10_30434378_30438915,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,chr10_30434378,chr10_30438915
chr10_30434748_30438915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,chr10_30434748,chr10_30438915
chr10_30437406_30438915,,,,,,,,,,,,,24.0,,,,,,,,,,24.0,9.0,,,,,,,,,chr10_30437406,chr10_30438915
chr10_30434378_30447781,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,chr10_30434378,chr10_30447781
chr10_30434748_30447781,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,chr10_30434748,chr10_30447781
chr10_30439274_30447781,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,31.0,,chr10_30439274,chr10_30447781
chr10_30442636_30447781,,,,,,,,,,,,,,,,,,,,,,,28.0,37.0,,,,,,,,,chr10_30442636,chr10_30447781
chr10_31839711_31843460,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,chr10_31839711,chr10_31843460
chr10_31831800_31843460,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,chr10_31831800,chr10_31843460
chr10_32293190_32293591,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_32293190,chr10_32293591
chr10_32293194_32293591,8.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,8.0,chr10_32293194,chr10_32293591
chr10_32305931_32346762,,,,17.0,,2.0,,4.0,3.0,,,,8.0,,,,,,,,,,,,,,,,8.0,,,6.0,chr10_32305931,chr10_32346762
chr10_32345623_32346762,,,,,,10.0,,,,,,,,,,,40.0,,,,,,17.0,,,,,,,,,,chr10_32345623,chr10_32346762
chr10_32932600_32935491,8.0,,,,,,25.0,4.0,,,,,,1.0,,2.0,,,1.0,,,22.0,,,,1.0,,,,,,,chr10_32932600,chr10_32935491
chr10_32933583_32935491,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_32933583,chr10_32935491
chr10_35011964_35016191,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,chr10_35011964,chr10_35016191
chr10_35013800_35016191,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,chr10_35013800,chr10_35016191
chr10_35148491_35178888,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,chr10_35148491,chr10_35178888
chr10_35127193_35178888,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,chr10_35127193,chr10_35178888
chr10_35196099_35206894,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,chr10_35196099,chr10_35206894
chr10_35201486_35206894,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,1.0,,,,,,chr10_35201486,chr10_35206894
chr10_37149679_37162775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,chr10_37149679,chr10_37162775
chr10_37162677_37162775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,chr10_37162677,chr10_37162775
chr10_37166695_37169529,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,chr10_37166695,chr10_37169529
chr10_37169006_37169529,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,chr10_37169006,chr10_37169529
chr10_37177756_37181321,,,,,,3.0,,,,,,,47.0,,,,3.0,,,,,,,,,,,3.0,8.0,,,20.0,chr10_37177756,chr10_37181321
chr10_37180195_37181321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,chr10_37180195,chr10_37181321
chr10_37180798_37181321,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_37180798,chr10_37181321
chr10_37188019_37189466,,,1.0,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,1.0,,,4.0,chr10_37188019,chr10_37189466
chr10_37165155_37189466,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,chr10_37165155,chr10_37189466
chr10_37185712_37193063,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_37185712,chr10_37193063
chr10_37189557_37193063,,,25.0,,,23.0,,,,,,,44.0,,,,28.0,,,,,,,,,,,4.0,4.0,,,62.0,chr10_37189557,chr10_37193063
chr10_37201325_37218979,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_37201325,chr10_37218979
chr10_37217878_37218979,,,4.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,chr10_37217878,chr10_37218979
chr10_37264637_37309096,,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,chr10_37264637,chr10_37309096
chr10_37307850_37309096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,chr10_37307850,chr10_37309096
chr10_37309180_37314377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,chr10_37309180,chr10_37314377
chr10_37311188_37314377,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_37311188,chr10_37314377
chr10_3780229_3781640,33.0,124.0,141.0,36.0,,349.0,20.0,354.0,,,110.0,72.0,286.0,,,,,108.0,768.0,200.0,76.0,116.0,398.0,168.0,194.0,,70.0,,37.0,121.0,560.0,202.0,chr10_3780229,chr10_3781640
chr10_3780213_3781640,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,chr10_3780213,chr10_3781640
chr10_3779530_3781640,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_3779530,chr10_3781640
chr10_3779590_3781640,,,,,,15.0,,14.0,,,,,1.0,,,,,,93.0,,12.0,,12.0,98.0,,,,,,11.0,42.0,22.0,chr10_3779590,chr10_3781640
chr10_3782214_3784912,32.0,90.0,113.0,70.0,4.0,331.0,35.0,414.0,,,112.0,,230.0,,,,,80.0,800.0,148.0,81.0,104.0,258.0,152.0,184.0,,97.0,1.0,35.0,110.0,475.0,236.0,chr10_3782214,chr10_3784912
chr10_3783281_3784912,,,,,,,,,,,,,,,,,,,27.0,,,,,79.0,,,,,,,121.0,,chr10_3783281,chr10_3784912
chr10_43437155_43454064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,chr10_43437155,chr10_43454064
chr10_43437262_43454064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,chr10_43437262,chr10_43454064
chr10_46383546_46384773,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,53.0,,chr10_46383546,chr10_46384773
chr10_46384285_46384773,,,,,,,,,,,,68.0,,,,,,,51.0,2.0,32.0,,,,,,,,,,,,chr10_46384285,chr10_46384773
chr10_47468647_47468769,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,chr10_47468647,chr10_47468769
chr10_47468601_47468769,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,chr10_47468601,chr10_47468769
chr10_49506012_49524032,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,chr10_49506012,chr10_49524032
chr10_49517121_49524032,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,chr10_49517121,chr10_49524032
chr10_49963245_49964261,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,chr10_49963245,chr10_49964261
chr10_49963411_49964261,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_49963411,chr10_49964261
chr10_50327322_50343491,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,chr10_50327322,chr10_50343491
chr10_50335715_50343491,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_50335715,chr10_50343491
chr10_5429229_5451829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,chr10_5429229,chr10_5451829
chr10_5446858_5451829,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_5446858,chr10_5451829
chr10_60042756_60055657,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,chr10_60042756,chr10_60055657
chr10_60042759_60055657,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_60042759,chr10_60055657
chr10_6113068_6113507,,,,15.0,,,,,,,,,,,,,,,,,,16.0,12.0,,,,,,,,,,chr10_6113068,chr10_6113507
chr10_6112361_6113507,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,chr10_6112361,chr10_6113507
chr10_62000321_62050887,,,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,chr10_62000321,chr10_62050887
chr10_62049483_62050887,,15.0,,,,,,6.0,,,5.0,,8.0,16.0,,12.0,,,103.0,109.0,,29.0,96.0,39.0,15.0,23.0,,,,,33.0,,chr10_62049483,chr10_62050887
chr10_62069797_62085701,2.0,14.0,1.0,,,,,6.0,,,,,36.0,,,23.0,,33.0,88.0,117.0,,6.0,146.0,101.0,32.0,,,,,,16.0,,chr10_62069797,chr10_62085701
chr10_62070157_62085701,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,chr10_62070157,chr10_62085701
chr10_6221527_6223957,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_6221527,chr10_6223957
chr10_6222984_6223957,9.0,18.0,,,15.0,,23.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,chr10_6222984,chr10_6223957
chr10_6224213_6226191,10.0,1.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_6224213,chr10_6226191
chr10_6224623_6226191,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_6224623,chr10_6226191
chr10_63150356_63152149,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_63150356,chr10_63152149
chr10_63146293_63152149,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,chr10_63146293,chr10_63152149
chr10_63215617_63217206,,8.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,chr10_63215617,chr10_63217206
chr10_63215696_63217206,12.0,,,,,25.0,18.0,,,,,46.0,2.0,,,4.0,,,,,,,1.0,,,,20.0,,21.0,,,,chr10_63215696,chr10_63217206
chr10_63217331_63264650,15.0,,,,,,8.0,,,,,20.0,1.0,,,,,,21.0,,,,,,,,,,,5.0,,,chr10_63217331,chr10_63264650
chr10_63219983_63264650,,5.0,,,,6.0,,,,,,26.0,,,,,,,1.0,,,,,,,,10.0,,,,,,chr10_63219983,chr10_63264650
chr10_67811663_67823313,,,,,,,,,,,,,6.0,,,,25.0,76.0,,,,,11.0,,,,,,,7.0,,,chr10_67811663,chr10_67823313
chr10_67816133_67823313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,chr10_67816133,chr10_67823313
chr10_67797874_67837933,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,chr10_67797874,chr10_67837933
chr10_67823392_67837933,,,,,,,,,,,,,,,,,21.0,111.0,,,,,,,,,,,,19.0,,2.0,chr10_67823392,chr10_67837933
chr10_68332235_68337198,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_68332235,chr10_68337198
chr10_68332216_68337198,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_68332216,chr10_68337198
chr10_68337996_68338502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,chr10_68337996,chr10_68338502
chr10_68337333_68338502,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_68337333,chr10_68338502
chr10_68338642_68339139,,,8.0,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,chr10_68338642,chr10_68339139
chr10_68338687_68339139,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,1.0,,,chr10_68338687,chr10_68339139
chr10_68721282_68722454,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,chr10_68721282,chr10_68722454
chr10_68721663_68722454,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_68721663,chr10_68722454
chr10_68956312_68959805,,,,,,,,,,,2.0,,6.0,,,,,,9.0,,,,7.0,,,,,,,,,,chr10_68956312,chr10_68959805
chr10_68956748_68959805,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_68956748,chr10_68959805
chr10_69180562_69185986,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_69180562,chr10_69185986
chr10_69182654_69185986,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,chr10_69182654,chr10_69185986
chr10_69952968_69957003,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_69952968,chr10_69957003
chr10_69947342_69957003,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_69947342,chr10_69957003
chr10_70161931_70170412,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,chr10_70161931,chr10_70170412
chr10_70162817_70170412,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,chr10_70162817,chr10_70170412
chr10_70217931_70230340,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_70217931,chr10_70230340
chr10_70218817_70230340,,,,,,23.0,,,,,,,32.0,,,,,,49.0,37.0,,,41.0,94.0,,141.0,,,,,39.0,,chr10_70218817,chr10_70230340
chr10_70882485_70885151,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_70882485,chr10_70885151
chr10_70884048_70885151,,,,,,,,11.0,,,,13.0,,,,,,,,,,,,63.0,,,,,,,,,chr10_70884048,chr10_70885151
chr10_71817476_71818616,49.0,,13.0,25.0,16.0,17.0,,55.0,,46.0,,28.0,29.0,63.0,,,,,,6.0,,30.0,2.0,,12.0,,17.0,,57.0,,24.0,,chr10_71817476,chr10_71818616
chr10_71817702_71818616,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_71817702,chr10_71818616
chr10_72220379_72223887,,,,,,,,,,,,,1.0,,,,,,,,,,,13.0,,,,,,,,,chr10_72220379,chr10_72223887
chr10_72216232_72223887,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,chr10_72216232,chr10_72223887
chr10_72216138_72223887,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,5.0,,,,chr10_72216138,chr10_72223887
chr10_72216072_72223887,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,chr10_72216072,chr10_72223887
chr10_72216138_72230365,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,12.0,,chr10_72216138,chr10_72230365
chr10_72224056_72230365,31.0,,5.0,,,,54.0,47.0,,9.0,,,22.0,,,,,95.0,,,,,,26.0,,,4.0,,31.0,,,,chr10_72224056,chr10_72230365
chr10_72566794_72626009,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_72566794,chr10_72626009
chr10_72622231_72626009,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,chr10_72622231,chr10_72626009
chr10_73345114_73348422,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,chr10_73345114,chr10_73348422
chr10_73345244_73348422,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,chr10_73345244,chr10_73348422
chr10_73388414_73396518,,,,,,,,,,13.0,,42.0,,,,,13.0,,,,5.0,,,,,,,,39.0,,28.0,,chr10_73388414,chr10_73396518
chr10_73396109_73396518,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_73396109,chr10_73396518
chr10_7779035_7780055,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,chr10_7779035,chr10_7780055
