Site,SRR7666488,SRR7666480,SRR7666591,SRR7666498,SRR7666581,SRR7666588,SRR7666487,SRR7666500,SRR7666592,SRR7666589,SRR7666595,SRR7666482,SRR7666494,SRR7666490,SRR7666354,SRR7666485,SRR7666497,SRR7666355,SRR7666358,SRR7666351,SRR7666586,SRR7666483,SRR7666357,SRR7666352,SRR7666484,SRR7666348,SRR7666583,SRR7666599,SRR7666495,SRR7666596,SRR7666347,SRR7666481,start,end
chr10_3782214_3784912,32.0,90.0,113.0,70.0,4.0,331.0,35.0,414.0,,,112.0,,230.0,,,,,80.0,800.0,148.0,81.0,104.0,258.0,152.0,184.0,,97.0,1.0,35.0,110.0,475.0,236.0,chr10_3782214,chr10_3784912
chr10_38017386_38054374,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,chr10_38017386,chr10_38054374
chr10_38017386_38054377,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,chr10_38017386,chr10_38054377
chr10_41883533_41906999,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,chr10_41883533,chr10_41906999
chr10_41883533_41902863,7.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,1.0,chr10_41883533,chr10_41902863
chr10_41883533_41904272,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,chr10_41883533,chr10_41904272
chr10_43396590_43409130,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,21.0,,chr10_43396590,chr10_43409130
chr10_43396590_43397184,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,chr10_43396590,chr10_43397184
chr10_46383546_46384205,,,,,,,,,,,,23.0,,,,,,,1.0,6.0,4.0,,,,,,,,,,,,chr10_46383546,chr10_46384205
chr10_46383546_46384773,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,53.0,,chr10_46383546,chr10_46384773
chr10_46398793_46410008,,,,17.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,chr10_46398793,chr10_46410008
chr10_46398793_46450047,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,chr10_46398793,chr10_46450047
chr10_46798168_46808995,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,chr10_46798168,chr10_46808995
chr10_46798168_46800762,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_46798168,chr10_46800762
chr10_46798168_46817106,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_46798168,chr10_46817106
chr10_47551952_47553478,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,21.0,,chr10_47551952,chr10_47553478
chr10_47551952_47553328,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,chr10_47551952,chr10_47553328
chr10_62069797_62085701,2.0,14.0,1.0,,,,,6.0,,,,,36.0,,,23.0,,33.0,88.0,117.0,,6.0,146.0,101.0,32.0,,,,,,16.0,,chr10_62069797,chr10_62085701
chr10_62069797_62077780,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,chr10_62069797,chr10_62077780
chr10_62069797_62070060,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,chr10_62069797,chr10_62070060
chr10_6217191_6218473,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_6217191,chr10_6218473
chr10_6217191_6219568,12.0,,,,,,22.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_6217191,chr10_6219568
chr10_6221527_6221640,7.0,7.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_6221527,chr10_6221640
chr10_6221527_6223957,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_6221527,chr10_6223957
chr10_6226365_6232894,9.0,3.0,,,13.0,,22.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,chr10_6226365,chr10_6232894
chr10_6226365_6326545,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,chr10_6226365,chr10_6326545
chr10_63217331_63219877,,,,,,2.0,,,,,,21.0,,,,,,,9.0,,,,,,,,1.0,,12.0,,,,chr10_63217331,chr10_63219877
chr10_63217331_63264650,15.0,,,,,,8.0,,,,,20.0,1.0,,,,,,21.0,,,,,,,,,,,5.0,,,chr10_63217331,chr10_63264650
chr10_63219983_63264650,,5.0,,,,6.0,,,,,,26.0,,,,,,,1.0,,,,,,,,10.0,,,,,,chr10_63219983,chr10_63264650
chr10_63219983_63231668,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_63219983,chr10_63231668
chr10_63264764_63268662,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,14.0,,,,chr10_63264764,chr10_63268662
chr10_63264764_63380317,,,,,,,14.0,,,,,14.0,,,,16.0,,,20.0,,,13.0,,,,,,,,,,,chr10_63264764,chr10_63380317
chr10_68337333_68337857,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,chr10_68337333,chr10_68337857
chr10_68337333_68338502,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_68337333,chr10_68338502
chr10_68755536_68756272,,,,,,,,,,,12.0,,,21.0,,,,,,,,66.0,,,,,,,23.0,,,,chr10_68755536,chr10_68756272
chr10_68755536_68757293,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_68755536,chr10_68757293
chr10_69187756_69189266,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,chr10_69187756,chr10_69189266
chr10_69187756_69191654,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_69187756,chr10_69191654
chr10_69947342_69957003,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_69947342,chr10_69957003
chr10_69947342_69952881,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_69947342,chr10_69952881
chr10_70161931_70162689,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,28.0,,chr10_70161931,chr10_70162689
chr10_70161931_70170412,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,chr10_70161931,chr10_70170412
chr10_70217931_70218763,,11.0,,2.0,9.0,,,28.0,,,4.0,36.0,27.0,,,,,,39.0,25.0,,,32.0,55.0,,88.0,25.0,9.0,11.0,4.0,72.0,4.0,chr10_70217931,chr10_70218763
chr10_70217931_70230340,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_70217931,chr10_70230340
chr10_71817476_71817567,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_71817476,chr10_71817567
chr10_71817476_71818616,49.0,,13.0,25.0,16.0,17.0,,55.0,,46.0,,28.0,29.0,63.0,,,,,,6.0,,30.0,2.0,,12.0,,17.0,,57.0,,24.0,,chr10_71817476,chr10_71818616
chr10_72216138_72223887,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,5.0,,,,chr10_72216138,chr10_72223887
chr10_72216138_72230365,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,12.0,,chr10_72216138,chr10_72230365
chr10_73252023_73252576,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,chr10_73252023,chr10_73252576
chr10_73252023_73252469,,,,,,,,3.0,,3.0,,,,,,,,,,,4.0,,,,,,,,,,,,chr10_73252023,chr10_73252469
chr10_73388414_73396043,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_73388414,chr10_73396043
chr10_73388414_73396518,,,,,,,,,,13.0,,42.0,,,,,13.0,,,,5.0,,,,,,,,39.0,,28.0,,chr10_73388414,chr10_73396518
chr10_74138382_74150334,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_74138382,chr10_74150334
chr10_74138382_74150754,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_74138382,chr10_74150754
chr10_74600493_74661287,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,chr10_74600493,chr10_74661287
chr10_74600493_74670182,,,4.0,,,,,,,,,,15.0,,,,,,,,,,,52.0,10.0,71.0,,13.0,20.0,,,,chr10_74600493,chr10_74670182
chr10_7802854_7806973,,,,22.0,,,,6.0,,,,33.0,3.0,,,,,,,,,,10.0,15.0,,,,1.0,6.0,9.0,,25.0,chr10_7802854,chr10_7806973
chr10_7802854_7807658,,,,,2.0,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,chr10_7802854,chr10_7807658
chr10_7824560_7963922,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,chr10_7824560,chr10_7963922
chr10_7824560_7963919,,,,,,,,,,3.0,,,,,,,,,23.0,,,,8.0,,,,,,,,,,chr10_7824560,chr10_7963919
chr10_80078786_80081840,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_80078786,chr10_80081840
chr10_80078786_80079593,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,chr10_80078786,chr10_80079593
chr10_80082204_80086230,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_80082204,chr10_80086230
chr10_80082204_80090379,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,chr10_80082204,chr10_80090379
chr10_80408643_80420465,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,chr10_80408643,chr10_80420465
chr10_80408643_80420482,,,,,,,,,,13.0,,20.0,,,,,,,,,,,,,,,,,8.0,,,,chr10_80408643,chr10_80420482
chr10_8069598_8073738,52.0,,,,,,,,,13.0,,,4.0,,,,,,,,,,,,,,14.0,,,19.0,,1.0,chr10_8069598,chr10_8073738
chr10_8069598_8073746,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,chr10_8069598,chr10_8073746
chr10_84425893_84438511,18.0,,,,,8.0,,,,,,,13.0,,,,,,,,,,,,,,1.0,,,,,,chr10_84425893,chr10_84438511
chr10_84425893_84463932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,chr10_84425893,chr10_84463932
chr10_86472344_86473877,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_86472344,chr10_86473877
chr10_86472344_86472611,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,6.0,,32.0,,,,chr10_86472344,chr10_86472611
chr10_86959674_86959948,,21.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_86959674,chr10_86959948
chr10_86959674_86960000,,17.0,,,2.0,,,,10.0,,,,,62.0,,24.0,,,103.0,,,,,58.0,,,,,,,44.0,,chr10_86959674,chr10_86960000
chr10_87326672_87328192,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,chr10_87326672,chr10_87328192
chr10_87326672_87336785,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_87326672,chr10_87336785
chr10_88285506_88310666,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,chr10_88285506,chr10_88310666
chr10_88285506_88314465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,chr10_88285506,chr10_88314465
chr10_88362725_88572902,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,44.0,,chr10_88362725,chr10_88572902
chr10_88362725_88792608,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,chr10_88362725,chr10_88792608
chr10_88941390_88943796,,,,,,,62.0,,5.0,,,,,7.0,,,,,,,,,,,8.0,,,,,,,,chr10_88941390,chr10_88943796
chr10_88941390_88941784,595.0,436.0,,,327.0,,1400.0,,345.0,,,1.0,,256.0,,29.0,,,,,,629.0,,,24.0,,8.0,,,,,,chr10_88941390,chr10_88941784
chr10_89010600_89010752,,,,,,,,,,,,,3.0,,,,,,,,,,22.0,,,,,,,,4.0,,chr10_89010600,chr10_89010752
chr10_89010600_89011998,,,,,,,,,,,,,,,,,,,110.0,75.0,,,,16.0,,,,,,,,,chr10_89010600,chr10_89011998
chr10_89247649_89251736,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,chr10_89247649,chr10_89251736
chr10_89247649_89412740,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,chr10_89247649,chr10_89412740
chr10_89392717_89399894,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,chr10_89392717,chr10_89399894
